                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.2554,                0.68714,                 1.0529,                0.93804,                0.91325,                0.96457,                0.65504,                 1.1695,                0.53741,                  1.015,               0.004951,               0.004951,               0.004951
                    104,                 1.2501,                 0.6867,                 1.0522,                0.93977,                0.91275,                0.96434,                0.65476,                 1.1689,                0.53672,                 1.0147,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.2479,                0.68445,                 1.0532,                0.94076,                0.91275,                0.96436,                0.65495,                 1.1683,                0.53594,                 1.0145,               0.004852,               0.004852,               0.004852
                    106,                 1.2449,                 0.6806,                 1.0528,                0.93928,                0.91401,                 0.9649,                0.65508,                 1.1676,                0.53522,                 1.0142,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.2436,                0.68064,                 1.0501,                0.93948,                0.91359,                0.96435,                0.65558,                 1.1672,                0.53464,                 1.0139,               0.004753,               0.004753,               0.004753
                    108,                 1.2409,                0.67838,                  1.051,                0.93984,                0.91296,                0.96416,                0.65549,                 1.1665,                0.53406,                 1.0136,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.2432,                0.67861,                 1.0495,                0.94044,                0.91254,                0.96428,                0.65569,                 1.1656,                0.53362,                 1.0131,               0.004654,               0.004654,               0.004654
                    110,                 1.2398,                0.67658,                 1.0522,                0.93942,                0.91275,                  0.964,                0.65582,                 1.1646,                0.53304,                 1.0126,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.2364,                 0.6744,                  1.047,                0.94035,                0.91296,                0.96407,                0.65659,                 1.1637,                0.53245,                 1.0121,               0.004555,               0.004555,               0.004555
                    112,                 1.2426,                0.67733,                 1.0491,                0.94163,                0.91243,                0.96394,                0.65696,                 1.1631,                0.53207,                 1.0117,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.2367,                0.67411,                  1.048,                0.93982,                 0.9127,                0.96401,                0.65718,                  1.162,                 0.5314,                 1.0112,               0.004456,               0.004456,               0.004456
